Name,Price,Date,Time
Ether,2528.23,15-01-2024,23:14:59
Ether,2528.19,15-01-2024,23:18:03
Ether,2528.19,15-01-2024,23:19:12
Ether,2529.64,15-01-2024,23:20:34
Ether,2529.64,15-01-2024,23:22:52
Ether,2529.64,15-01-2024,23:24:40
Ether,2534.15,15-01-2024,23:25:56
Ether,2527.19,18-01-2024,07:55:24
Ether,2527.19,18-01-2024,07:56:50
Ether,2528.86,18-01-2024,08:04:53
Ether,2528.86,18-01-2024,08:05:09
Ether,2527.08,18-01-2024,08:05:48
Ether,2527.08,18-01-2024,08:06:07
Ether,2527.08,18-01-2024,08:06:37
Ether,2527.08,18-01-2024,08:07:24
Ether,2527.08,18-01-2024,08:08:55
Ether,2527.08,18-01-2024,08:09:21
Ether,2527.08,18-01-2024,08:10:05
